Goods ID,Level One Model,The Color ,PN,Alternative PN,Material Item Category,ID,P/N + zamiennik,The Material Sub-category ,Part Name
37651,Redmi Note 11 NFC,Tarnish,451100004K2N,,Consumable,37651-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
37651,Redmi Note 11 NFC,Tarnish,48200000FW9T,,Accessory,37651-SIMCard Tray,48200000FW9T,SIMCard Tray,SIM Card Tray-K7S-Tarnish
37651,Redmi Note 11 NFC,Tarnish,34080000179T,,Consumable,37651-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37651,Redmi Note 11 NFC,Tarnish,32110000CH9T,,Consumable,37651-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37651,Redmi Note 11 NFC,Tarnish,37010000C19T,,Consumable,37651-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37651,Redmi Note 11 NFC,Tarnish,55020000J69T,,Structural Material,37651-Middle Frame,55020000J69T,Middle Frame,Middle Frame Assy-K7SN-Tarnish
37651,Redmi Note 11 NFC,Tarnish,48320000D89T,,Structural Material,37651-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37651,Redmi Note 11 NFC,Tarnish,321400001V1Y,,Consumable,37651-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37651,Redmi Note 11 NFC,Tarnish,48110000EA9T,,Structural Material,37651-Volume Key,48110000EA9T,Volume Key,Volume Key Assy-Tarnish-K7S
37651,Redmi Note 11 NFC,Tarnish,320200017F9T,,Consumable,37651-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37651,Redmi Note 11 NFC,Tarnish,320200017L9T,,Consumable,37651-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37651,Redmi Note 11 NFC,Tarnish,48320000GA9T,,Structural Material,37651-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,5600070K7T00,,Structural Material,37801-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37801,Redmi Note 11 NFC,Blue-green Gradient,32010001KS9T,,Consumable,37801-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,320200017X9T,,Consumable,37801-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,37010000BV9T,,Consumable,37801-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,37010000BY9T,,Consumable,37801-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,55020000PP9T,,Structural Material,37801-Middle Frame,55020000PP9T,Middle Frame,Middle Frame Assy-K7SN-Light Blue
37801,Redmi Note 11 NFC,Blue-green Gradient,37010000C49T,,Consumable,37801-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,451100004K2N,,Consumable,37801-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,34080000179T,,Consumable,37801-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37801,Redmi Note 11 NFC,Blue-green Gradient,32110000CH9T,,Consumable,37801-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,37010000C19T,,Consumable,37801-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,490100009K6G,,Structural Material,37801-Fingerprint Module,490100009K6G,Fingerprint Module,Fingerprint Module-Blue-green Gradient-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,48200000HJ9T,,Accessory,37801-SIMCard Tray,48200000HJ9T,SIMCard Tray,SIM Card Tray-K7S-Light Blue
37801,Redmi Note 11 NFC,Blue-green Gradient,48320000D89T,,Structural Material,37801-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37801,Redmi Note 11 NFC,Blue-green Gradient,321400001V1Y,,Consumable,37801-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37801,Redmi Note 11 NFC,Blue-green Gradient,320200017F9T,,Consumable,37801-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,320200017L9T,,Consumable,37801-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,48320000GA9T,,Structural Material,37801-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37801,Redmi Note 11 NFC,Blue-green Gradient,48110000EC9T,,Structural Material,37801-Volume Key,48110000EC9T,Volume Key,Volume Key Assy-Light Blue-K7S
37804,Redmi Note 11 NFC,Blue,5600070K7T00,,Structural Material,37804-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37804,Redmi Note 11 NFC,Blue,32010001KS9T,,Consumable,37804-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37804,Redmi Note 11 NFC,Blue,320200017X9T,,Consumable,37804-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37804,Redmi Note 11 NFC,Blue,37010000BV9T,,Consumable,37804-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37804,Redmi Note 11 NFC,Blue,37010000BY9T,,Consumable,37804-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37804,Redmi Note 11 NFC,Blue,37010000C49T,,Consumable,37804-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
37804,Redmi Note 11 NFC,Blue,451100004K2N,,Consumable,37804-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
